player_id,name
977,Darren Fletcher
978,Mame Biram Diouf
979,Saido Berahino
980,Kevin Wimmer
981,Eric Maxim Choupo-Moting
982,Jesé Rodríguez Ruiz
983,Bruno Martins Indi
984,Harry Souttar
985,Thomas Edwards
986,Julien Ngoy
987,Jakob Haugaard
988,Stephen Ireland
989,Moritz Bauer
990,Konstantinos Stafylidis
991,Papa Alioune Ndiaye
992,Tyrese Campbell
993,Lasse Sorenson
994,Kristoffer Nordfeldt
995,Kyle Naughton
996,Angel Rangel
997,Stephen Kingsley
998,Mike van der Hoorn
999,Martin Olsson
1000,Wayne Routledge
1001,Leon Britton
1002,Jay Fulton
1003,Jefferson Montero
1004,Leroy Fer
1005,Nathan Dyer
1006,Tom Carroll
1007,Modou Barrow
1008,Luciano Narsingh
1009,Roque Mesa
1010,André Ayew
1011,Kyle Bartley
1012,Sam Clucas
1013,Renato Sanches
1014,Wilfried Bony
1015,Joe Rodon
1016,Erwin Mulder
1017,Connor Roberts
1018,Cameron Carter-Vickers
1019,Tashan Oakley-Boothe
1020,Molla Wagué
1021,Costel Pantilimon
1022,Brandon Mason
1023,Valon Behrami
1024,Steven Berghuis
1025,Nordin Amrabat
1026,Isaac Success
1027,Mauro Zárate
1028,Ben Watson
1029,André Carrillo
1030,Orestis Karnezis
1031,Michael Folivi
1032,Daniel Bachmann
1033,Carl Stewart
1034,Dodi Lukebakio
1035,Didier Ndong
1036,Joy Mukena
1037,Kieran Gibbs
1038,Gareth Barry
1039,Boaz Myhill
1040,Allan-Roméo Nyom
1041,Gareth McAuley
1042,Jake Livermore
1043,Nacer Chadli
1044,James Morrison
1045,Claudio Yacob
1046,James McClean
1047,Jonathan Leko
1048,Matt Phillips
1049,Sam Field
1050,Chris Brunt
1051,Hal Robson-Kanu
1052,Ahmed El-Sayed Hegazi
1053,Rekeem Harper
1054,Kane Wilson
1055,Oliver Burke
1056,Grzegorz Krychowiak
1057,Alex Palmer
1058,Max Melbourne
1059,Rayhaan Tulloch
1060,Nathan Ferguson
1061,Ali Gabr
1062,Kyle Jameson
1063,Jose Fonte
1064,James Collins
1065,Sofiane Feghouli
1066,Diafra Sakho
1067,Ashley Fletcher
1068,Enner Valencia
1069,Sead Haksabanovic
1070,Antonio Martinez Lopez
1071,Nathan Trott
1072,Moses Makasi
1073,Reece Burke
1074,Josh Cullen
1075,João Mário Naval Costa Eduardo
1076,Patrice Evra
1077,Marcus Browne
1078,Josh Pask
1079,Abdul Rahman Baba
1080,Abel Hernández
1081,Adam Clayton
1082,Adam Forshaw
1083,Adam Matthews
1084,Adam Reach
1085,Adama Diomande
1086,Adlène Guédioura
1087,Adnan Januzaj
1088,Ahmed Elmohamady
1089,Albert Adomah
1090,Aleix García Serrano
1091,Alex Baptiste
1092,Alex Bruce
1093,Alex Pike
1094,Alexander Manninger
1095,Alfred N'Diaye
1096,Allan McGregor
1097,Almen Abdi
1098,Andrea Ranocchia
1099,Andrew Eleftheriou
1100,Antonio Barragán
1101,Arouna Koné
1102,Bacary Sagna
1103,Bafétimbi Gomis
1104,Baily Cargill
1105,Bartosz Kapustka
1106,Bastian Schweinsteiger
1107,Ben Hinchcliffe
1108,Ben Wynter
1109,Bernardo Espinosa Zúñiga
1110,Bertrand Traore
1111,Billy Jones
1112,Bojan Krkic
1113,Borja Bastón
1114,Bradley Guzan
1115,Branislav Ivanovic
1116,Brendan Galloway
1117,Brian Lenihan
1118,Brice Dja Djédjé
1119,Bryan Oviedo
1120,Callum McManaman
1121,Cameron Borthwick-Jackson
1122,Cameron Brannagan
1123,Carlos De Pena
1124,Charlie Rowan
1125,Chris Long
1126,Chuba Akpom
1127,Clinton N'Jie
1128,Connor Randall
1129,Craig Gardner
1130,Cristhian Stuani
1131,Cristian Gamboa
1132,Curtis Davies
1133,Dael Fry
1134,Daniel Agyei
1135,Daniel Ayala
1136,Daniel Batty
1137,Daniel Kemp
1138,Daniel Lafferty
1139,Darron Gibson
1140,David Jones
1141,David Marshall
1142,David Meyler
1143,David Nugent
1144,Demetri Mitchell
1145,Dieumerci Mbokani
1146,Dimitri Payet
1147,Dimitrios Konstantopoulos
1148,Dion Pereira
1149,Dionatan do Nascimento Teixeira
1150,Donald Love
1151,Duncan Watmore
1152,Dusan Kuciak
1153,Eduardo Dos Reis Carvalho
1154,Elliot Embleton
1155,Elliott Moore
1156,Emilio Nsue Lopez
1157,Ethan Robson
1158,Eunan O'Kane
1159,Evandro Goebel
1160,Ezekiel Fryers
1161,Fabio Borini
1162,Fabio Pereira da Silva
1163,Filip Lesniak
1164,Florin Gardos
1165,Fraizer Campbell
1166,Franck Tabanou
1167,Gastón Ramírez
1168,Gaël Clichy
1169,George Boyd
1170,George Friend
1171,George Honeyman
1172,Gerhard Tremmel
1173,Giedrius Arlauskis
1174,Grant Leadbitter
1175,Greg Luer
1176,Greg Olley
1177,Guillermo Varela
1178,Gökhan Inler
1179,Gökhan Töre
1180,Harrison Reed
1181,Hiram Boateng
1182,Ikechi Anya
1183,Jack Rose
1184,Jake Hesketh
1185,James Husband
1186,James Weir
1187,James Wilson
1188,Jan Kirchhoff
1189,Jason Denayer
1190,Jeff Reine-Adelaide
1191,Jeremain Lens
1192,Jesús Navas
1193,Joe Ledley
1194,Joe Williams
1195,Joel Asoro
1196,Joel Campbell
1197,Joel Taylor
1198,Joey Barton
1199,John O'Shea
1200,John Obi Mikel
1201,John Terry
